# Share of a term's DOCUMENTS carrying one identical context window.
# >=0.50 drop · >=0.25 inspect · <0.25 independently attested.
# contexts = distinct context windows = EFFECTIVE independent support.
# term	class	vocab_docs	docs	contexts	ratio	top_context
woodland	D	124	124	7	0.871	rnation-like. other pleasant scents include herbal and woodland scents derived from pine, spruce and other forest smel
forest	D	127	162	102	0.741	nd woodland scents derived from pine, spruce and other forest smells. fragrances may also be derived from various oi
concise	X	32	44	18	0.682	smelling the substance, in the example thus a nice and concise apple odor, then this substance has particularly advan
tart	X	39	47	31	0.596	uld be termed “nice”. however, the odor of a typically tart apple can also be concise. if both reactions arise upo
rose-like	D	36	168	260	0.506	raspberry; musk, flower scents such as lavender-like, rose-like, iris-like, carnation-like. other pleasant scents incl
hay		21	216	228	0.505	lilac, lily, magnolia, mimosa, narcissus, freshly-cut hay, orange blossom, orchid, reseda, sweet pea, trefle, tu
ripe	D	41	69	89	0.493	he odor is reminiscent, for example, of a sweet, fully ripe apple, the odor would be termed “nice”. however, the o
pear		26	277	374	0.383	imited to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flowe
pineapple		29	298	394	0.356	to fruits such as almond, apple, cherry, grape, pear, pineapple, orange, strawberry, raspberry; musk, flower scents su
freshly		24	312	340	0.349	th, jasmine, lilac, lily, magnolia, mimosa, narcissus, freshly-cut hay, orange blossom, orchid, reseda, sweet pea, tr
watery	D	54	213	441	0.343	etate; other ingredients (e.g. amber, powdery spicy or watery): dodecahydro-3a,6,6,9a-tetramethyl-naphtho[2,1-b]fura
combinable		29	61	62	0.311	pleasant odor are sought. furthermore, they should be combinable with other aroma chemicals, allowing the creation of n
spontaneously	X	37	117	95	0.308	ic. for example, a substance can have an odor which is spontaneously reminiscent of that of an “apple”: the odor would then
spruce	D	124	360	156	0.300	include herbal and woodland scents derived from pine, spruce and other forest smells. fragrances may also be derive
lily	D	37	413	761	0.295	rn, heliotrope, honeysuckle, hyacinth, jasmine, lilac, lily, magnolia, mimosa, narcissus, freshly-cut hay, orange
nice	H	69	143	148	0.252	vely perceived, pleasant sensory impression. however, “nice” does not have to be synonymous with “sweet”. “nice” c
