# Odour vocabulary harvested from 2205 candidate sentences.
# Method: words immediately preceding an odour head noun, minus a generic
#         English/patent stop list. Corpus-derived, NOT hand-supplied.
# 1245 distinct terms; 19 occur >=30 times; 16 appear in >=30 DOCUMENTS.
# docs is the column that matters: occurrences are inflated by odour
# tables that repeat vocabulary inside a single patent.
# class: D descriptor · H hedonic · T tier · M malodour · X noise · (empty = unjudged)
# Classes for terms seen in hand-run 04 are carried over. New terms are BLANK
# on purpose — judging them is human work.
#
# term	n	docs	class
floral	200	190	D
woody	173	156	D
green	152	134	D
fruity	119	107	D
sweet	82	73	D
fresh	73	71	D
muguet	70	68	D
spicy	60	54	D
citrus	50	46	D
valley	48	45	
musk	41	38	D
unpleasant	40	40	H
top	37	37	T
foot	37	21	
sandalwood	36	35	
herbal	36	36	
pleasant	33	33	H
musky	31	29	D
earthy	31	27	
minty	27	26	
powdery	26	24	
middle	25	24	T
rose	23	22	
rosy	23	23	
base	22	21	T
aldehydic	21	21	D
lily	21	21	
fatty	21	21	D
properties	20	20	
exemplary	20	19	
amber	19	17	
lilial	18	16	
fruit	18	15	
possesses	17	17	
rose-like	17	17	
eucalyptus	17	13	
celery	17	14	
aromatic	16	14	D
exhibit	16	16	X
watery	15	12	
bad	15	6	
damascone	15	12	
grapefruit	15	13	
anisic	14	14	
ambery	14	14	D
citrus-like	14	14	D
peppery	14	14	
completely	14	14	
valued	13	13	
leathery	13	13	
phenolic	13	13	
flowery	13	12	D
substituents	13	13	
tert-butyl	13	13	
cyclohexanes	13	13	
share	13	13	
urine-perspiration-type	13	13	
raw	12	12	
technical	12	11	X
bottom	12	12	T
patchouli	12	12	
conformation	12	12	
interesting	11	10	H
creamy	11	11	
soft	11	10	
ethereal	11	9	
dry	11	10	
camphoraceous	11	11	
warm	11	11	
costus	11	11	
vanilla	11	11	
tobacco	10	8	D
galbanum	10	9	
dusty	10	10	
mint	10	8	
metallic	10	10	
balsamic	10	10	
waxy	10	10	
animal	10	10	
pheromone	10	10	
animalic	10	8	
undesired	9	9	
spearmint	9	7	
harsh	9	9	
coconut	9	9	
medium	9	9	
clean	9	9	
lavender	9	8	
jasmine	9	9	
sandalwood-like	8	7	
side	8	7	
herbaceous	8	8	
undesirable	8	8	
shows	7	7	X
found	7	7	X
assessment	7	7	
lemon	7	5	
pungent	7	7	
camphor	7	5	
cedarwood	7	5	
almond	7	7	
oily	7	7	
detrimental	7	7	
particularly	7	7	
derivatives	7	7	
flower	7	7	
unexpected	7	7	
distinctive	7	6	
coriander	6	5	
leather	6	5	
heart	6	6	T
white	6	6	
