# Odour vocabulary harvested from 5346 patents.
# Method: words immediately preceding an odour head noun, minus a generic
#         English/patent stop list. Corpus-derived, NOT hand-supplied.
# 10623 distinct terms; 1017 occur >=30 times; 657 appear in >=30 DOCUMENTS.
# docs is the column that matters: occurrences are inflated by odour
# tables that repeat vocabulary inside a single patent.
# class: D descriptor · H hedonic · T tier · M malodour · X noise · (empty = unjudged)
# Classes for terms seen in hand-run 04 are carried over. New terms are BLANK
# on purpose — judging them is human work.
#
# term	n	docs	class
woody	7563	1282	D
green	7206	1154	D
fruity	6521	1212	D
floral	6082	1185	D
pleasant	4372	2093	H
sweet	4223	937	D
fresh	2580	946	D
top	2254	694	T
herbaceous	2122	335	D
minty	1840	329	D
unpleasant	1555	452	H
musk	1553	480	D
spicy	1334	436	D
camphoraceous	1305	286	D
tobacco	1297	416	D
amber	1231	271	D
sandalwood	1220	271	D
rose	1196	350	D
patchouli	1181	198	D
citrus	1136	422	D
base	1131	458	T
earthy	1114	335	D
musky	1102	291	D
warm	884	296	D
herbal	760	380	D
piney	749	161	
accompany	714	714	
middle	691	220	T
flowery	666	270	D
anisic	655	94	D
tobacco-like	637	210	
colognes	610	342	
patchouli-like	609	104	
interesting	596	344	H
valley	590	138	X
pleasing	584	427	H
muguet	576	134	D
dry	574	235	D
oriental	553	188	D
balsamic	543	166	D
cooling	536	357	
fatty	531	243	D
quality	511	397	X
aromatic	504	254	D
fruit	500	260	D
creamy	483	120	D
sweaty	476	67	
contribute	465	352	
consumable	462	359	
add	449	400	
apple	442	186	D
raspberry	437	148	
pine	429	129	
particularly	428	284	X
frag	418	418	
ambery	417	112	D
supplementing	405	345	
rose-like	397	107	D
citrusy	393	138	
leathery	387	94	D
fragr	379	379	X
rosey	370	82	
powdery	368	143	D
raw	364	73	X
grapefruit	363	130	D
peppery	359	107	
bottom	357	152	T
animal	352	187	D
jasmine	350	153	D
precise	347	332	
flavoring	346	296	
spicey	346	89	
manifest	342	333	
mask	340	245	H
rich	338	185	X
masking	332	177	H
vetiver	330	107	
flower	325	263	D
animalic	323	84	D
hay	323	112	D
fractions	323	25	
musk-like	320	106	D
lily	315	82	D
potato	314	29	
strawberry	311	85	
carrot-like	307	21	
metallic	304	105	D
lavender	304	140	D
rosy	302	145	D
vanilla	301	102	D
twiggy	299	18	
chocolate-like	295	19	
galbanum	292	75	
musty	289	121	D
ionone-like	283	81	
pea-like	276	17	
orange	273	160	D
dried	269	105	X
aldehydic	268	136	D
bad	268	70	M
sandalwood-like	268	81	
unwanted	267	253	
berry	266	143	D
foot	260	40	M
wood	260	173	D
rooty	260	71	D
ambergris	259	81	
hay-like	259	74	
lemon	254	132	D
bulked	248	28	
smoke	246	91	D
hyacinth	245	79	
offensive	239	61	X
nutty	238	110	D
acid	235	88	D
unacceptable	235	216	
synthetic	234	155	X
vetiver-like	234	66	
violet	232	108	D
medicinal	232	128	
profile	231	85	X
black	231	79	
character	229	179	X
definite	229	160	
aceous	229	41	
leather	227	66	D
lemony	227	60	
ionone	225	98	
eucalyptus	220	104	D
bergamot	220	61	
oily	220	98	D
basil	219	54	
pear	218	102	D
honey	217	88	D
undesirable	216	137	M
test	215	131	X
bitter	215	140	
turkish	214	45	
grape	213	66	
needle	213	31	
soft	212	133	D
orris-like	212	32	
somewhat	210	138	X
smoking	208	95	
geranium	207	102	D
winey	205	48	
heart	202	77	T
strength	201	155	X
caraway	199	70	
definitive	197	176	
pineapple	194	82	D
mint-like	194	27	
substantially	192	164	X
forest	192	180	D
caused	192	192	
ozoney	191	36	
clean	190	115	D
camphor	188	75	
coffee	187	49	D
watery	186	82	D
aesthetically	182	115	
head	180	80	T
waxy	180	85	D
alcohol	179	67	X
juice	178	124	
pepper	178	82	
marine	177	61	D
oil-like	176	54	
chamomile	175	35	
leaf	174	72	
peach	174	78	D
distinctive	173	148	X
sweat	171	59	M
tone	171	24	
tagette	170	22	
accord	169	42	X
cedar	169	92	D
unacceptab	169	169	
exhibit	168	113	X
white	166	94	X
fragrant	165	111	H
spruce	165	163	D
chypre	164	79	
non-woven	164	160	
woodland	162	162	D
tea	161	84	X
resulting	160	116	X
concentrated	160	113	
lactonic	158	74	X
cinnamon	157	68	
urine	157	55	M
cedarwood	157	83	D
amber-like	157	89	
melony	157	30	
rather	155	125	
generally	153	97	X
increasing	153	105	X
leafy	153	61	
pungent	152	108	D
coconut	151	68	D
cologne	150	81	
licorice	149	68	
coumarin-like	149	41	
malodor	148	89	M
acetate	148	95	X
bean-like	148	11	
harsh	145	81	X
virginia	145	51	
burnt	143	95	
fruit-like	141	73	
perspiration	140	108	M
berry-like	140	69	
valuable	139	89	X
eucalyptol-like	138	42	
intensive	136	90	X
tart	136	80	X
incense	136	36	
responsible	135	94	X
anise	135	53	
rum-like	135	25	
clove	134	40	
tenacious	134	101	
floral-rosey	134	7	
lime	133	69	D
adding	132	104	X
enhances	132	107	X
technical	132	50	X
maple	132	27	
odoriferous	131	73	
mint	131	69	D
fruits	130	91	D
give	129	109	X
side	129	73	X
resinous	128	51	
coconut-like	128	41	
sandal	127	55	
linen	127	28	
retain	126	105	X
attractive	123	90	H
art	123	113	X
concentration	123	85	X
augment	123	122	
background	122	96	X
cocoa	122	43	
fresher	121	89	
important	120	97	X
orris	120	61	
citrus-like	120	69	D
elegant	120	88	
because	119	108	X
flowers	119	73	D
basic	119	83	X
chlorine	117	44	D
associated	117	86	X
effect	117	109	X
aspects	117	60	X
methyl	117	71	
delicate	116	68	
roasted	116	45	
melon	115	60	
banana	115	34	
peel	115	78	
galbanum-like	115	35	
substantive	112	68	X
formulation	112	95	
pear-like	112	39	
lilac	112	53	
toilet	111	41	M
underarm	111	44	M
blueberry	111	42	
rate	110	72	X
extremely	110	105	X
dominant	110	58	X
buttery	110	56	
celery	110	38	
grape-like	110	22	
consistent	109	102	
potentiating	109	109	
graph	108	16	
tools	107	107	X
jasmine-like	107	45	
found	107	78	X
blended	107	72	
juicy	107	58	D
nice	106	100	H
defined	106	81	
refreshing	106	74	D
since	105	90	X
shows	105	41	X
variable	105	9	
single	104	74	X
neat	104	38	X
petitgrain-like	104	17	
coumarin	103	52	
grapefruit-like	102	32	
strawberry-like	101	33	
walnut	101	66	
solution	100	59	X
bark-like	100	22	
iris	99	35	
average	99	38	X
increased	99	85	X
red	99	47	X
kernel	99	59	
vegetable	98	68	
coumarinic	98	20	
conjunction	98	98	
see	98	39	
stable	97	54	
undertones	97	50	
chemicals	97	82	X
cassis	97	42	
color	97	42	X
seashore	97	10	
cleaning	96	65	X
clearly	95	80	X
leaves	94	67	
peppermint	94	57	D
bergamot-like	94	39	
compared	94	57	X
apparatus	94	11	
against	93	64	X
properties	93	64	X
together	93	75	X
cucumber	93	45	
anise-like	92	41	
damascenone-like	92	25	
banana-like	91	46	
phenolic	91	49	
grassy	91	28	
wet	90	60	D
caraway-like	89	25	
thereby	88	59	X
bleach	88	67	X
vanillin	88	37	
grass	88	32	
target	88	33	X
sage	88	39	
possesses	87	73	X
quite	87	81	X
intended	86	73	X
ripe	86	77	D
special	86	82	X
onion	86	44	
sidestream	86	9	
freshly	85	75	
apricot	85	65	
lingering	85	29	X
unusual	85	46	
oriental-like	85	50	
spearmint	84	34	
tea-like	84	34	
moderate	84	66	
achieve	84	79	X
