cid,mw,heavy_atoms,n_carbon,n_oxygen,n_nitrogen,n_sulfur,n_halogen,heteroatoms,logp,molar_refractivity,tpsa,labute_asa,h_donors,h_acceptors,rot_bonds,rings,aromatic_rings,aliphatic_rings,saturated_rings,fraction_csp3,valence_electrons,bertz_complexity,tag_acid,tag_aromatic,tag_chlorine,tag_citrus,tag_fatty,tag_floral,tag_fruity,tag_green,tag_mint,tag_musty,tag_pungent,tag_rose,tag_spicy,tag_sweet,tag_woody,n_tags,primary_tag_id
11,98.96,4,2,0,0,0,2,2,1.464,21.44,0.0,35.711,0,0,1,0,0,0,0,1.0,26,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
13,181.449,9,6,0,0,0,3,3,3.6468,41.472,0.0,68.341,0,0,0,1,1,0,0,0.0,48,219.543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
34,80.514,4,2,1,0,0,1,2,0.2175,17.8058,20.23,30.202,1,1,1,0,0,0,0,1.0,26,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
176,60.052,4,2,2,0,0,0,2,0.0909,13.3098,37.3,24.06,1,1,0,0,0,0,0,0.5,24,27.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
177,44.053,3,2,1,0,0,0,1,0.2052,11.738,17.07,19.266,0,1,0,0,0,0,0,0.5,18,10.265,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,12
179,88.106,6,4,2,0,0,0,2,-0.0438,22.3618,37.3,36.79,1,2,1,0,0,0,0,0.75,36,56.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
180,58.08,4,3,1,0,0,0,1,0.5953,16.355,17.07,25.631,0,1,0,0,0,0,0,0.6667,24,26.265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
222,17.031,1,0,0,1,0,0,1,0.162,5.0221,35.0,7.504,1,1,0,0,0,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
240,106.124,8,7,1,0,0,0,1,1.4991,31.8295,17.07,47.958,0,1,1,1,1,0,0,0.0,40,167.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,78.114,6,6,0,0,0,0,0,1.6866,26.442,0.0,37.431,0,0,0,1,1,0,0,0.0,30,71.961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
244,108.14,8,7,1,0,0,0,1,1.1789,32.3648,20.23,48.591,1,1,1,1,1,0,0,0.1429,42,145.733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
261,72.107,5,4,1,0,0,0,1,0.9854,20.972,17.07,31.996,0,1,2,0,0,0,0,0.75,30,24.829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
263,74.123,5,4,1,0,0,0,1,0.7788,21.9938,20.23,32.628,1,1,2,0,0,0,0,1.0,32,11.119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
280,44.009,3,1,2,0,0,0,2,-0.5835,5.007,34.14,17.062,0,2,0,0,0,0,0,0.0,16,23.774,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
284,46.025,3,1,2,0,0,0,2,-0.2992,8.6928,37.3,17.695,1,1,0,0,0,0,0,0.0,18,10.265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
313,36.461,1,0,0,0,0,1,1,0.4218,7.248,0.0,13.522,0,0,0,0,0,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
323,146.145,11,9,2,0,0,0,2,1.793,42.484,30.21,63.079,0,2,0,2,2,0,0,0.0,54,428.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
335,108.14,8,7,1,0,0,0,1,1.7006,32.8438,20.23,48.591,1,1,0,1,1,0,0,0.1429,42,160.497,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
342,108.14,8,7,1,0,0,0,1,1.7006,32.8438,20.23,48.591,1,1,0,1,1,0,0,0.1429,42,164.247,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
379,144.214,10,8,2,0,0,0,2,2.4315,41.0118,37.3,62.25,1,1,6,0,0,0,0,0.875,60,89.258,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,10
398,89.094,6,3,2,1,0,0,3,0.6715,22.1304,43.14,36.122,0,2,1,0,0,0,0,1.0,36,59.814,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
454,128.215,9,8,1,0,0,0,1,2.5458,39.44,17.07,57.455,0,1,6,0,0,0,0,0.875,54,59.588,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,5,2
460,124.139,9,7,2,0,0,0,2,1.4008,34.6588,29.46,53.704,1,2,1,1,1,0,0,0.1429,48,195.863,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13
527,58.08,4,3,1,0,0,0,1,0.5953,16.355,17.07,25.631,0,1,1,0,0,0,0,0.6667,24,17.245,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,12
650,86.09,6,4,2,0,0,0,2,0.1644,21.362,34.14,36.157,0,2,1,0,0,0,0,0.5,34,71.549,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
660,148.161,11,9,2,0,0,0,2,1.5382,40.398,26.3,64.795,0,2,0,2,1,1,0,0.2222,56,291.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
712,30.026,2,1,1,0,0,0,1,-0.1849,7.121,17.07,12.901,0,1,0,0,0,0,0,0.0,12,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
727,290.832,12,6,0,0,0,6,6,3.6444,57.846,0.0,101.378,0,0,0,1,0,1,1,1.0,72,103.588,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
768,27.026,2,1,0,1,0,0,1,0.1398,6.67,23.79,13.132,0,1,0,0,0,0,0,0.0,10,6.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
798,117.151,9,8,0,1,0,0,1,2.1679,38.2987,15.79,53.322,1,0,0,2,2,0,0,0.0,44,278.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
878,48.11,2,1,0,0,1,0,1,0.546,14.91,0.0,19.894,1,1,0,0,0,0,0,1.0,14,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
880,72.063,5,3,2,0,0,0,2,-0.2257,16.745,34.14,29.792,0,2,1,0,0,0,0,0.3333,28,55.913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
887,32.042,2,1,1,0,0,0,1,-0.3915,8.1428,20.23,13.533,1,1,0,0,0,0,0,1.0,14,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
931,128.174,10,10,0,0,0,0,0,2.8398,43.948,0.0,60.113,0,0,0,2,2,0,0,0.0,48,271.015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
944,63.012,4,0,3,1,0,0,4,-0.3477,8.7809,63.37,21.776,1,2,0,0,0,0,0,0.0,24,26.265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
957,130.231,9,8,1,0,0,0,1,2.3392,40.4618,20.23,58.088,1,1,6,0,0,0,0,1.0,56,37.832,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5
